Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
56,401,Niamh Carton,F35-39,56,Female,NaasTC,18:40,1:36,49:57,0:43,24:05,1:35:03
57,362,Patricia Eadie,F65-69,57,Female,PiranhaTriathlonClub,19:08,1:28,45:52,0:01,28:45,1:35:17
58,478,Dympna Dickson,F45-49,58,Female,,18:33,1:41,49:45,1:24,24:00,1:35:25
59,432,Máire O’Mahony,F65-69,59,Female,PiranhaTriathlonClub,20:54,2:03,45:33,1:37,25:54,1:36:02
60,376,Joan Lehane,F50-54,60,Female,CorkTriathlonClub,17:14,1:55,46:34,1:21,28:59,1:36:05
61,348,Gunda Albert,F35-39,61,Female,BelparkTC,16:44,0:59,45:16,1:21,32:35,1:36:56
62,435,Jacinta OKeeffe,F65-69,62,Female,MidlandTC,23:04,1:30,44:21,1:09,26:51,1:36:58
63,313,Claire Hannah,F40-44,63,Female,,17:56,1:46,50:15,1:20,26:30,1:37:49
64,379,Leanne Mccarthy,F45-49,64,Female,TraleeTriClub,17:52,2:54,48:01,1:31,27:37,1:37:58
65,431,Molly Nevin,F20-24,65,Female,,18:11,2:11,53:39,0:56,24:39,1:39:38
66,438,Catherine Reavy,F50-54,66,Female,,19:09,1:33,48:00,0:31,30:41,1:39:56
67,419,Hazel Mangan,F35-39,67,Female,,22:11,2:35,47:12,0:52,27:39,1:40:31
68,399,Mary Burke,F35-39,68,Female,PredatorTriathlonClub,22:53,2:17,50:48,1:04,25:57,1:43:02
69,414,Jackie Kelly,F55-59,69,Female,MakoTC,18:04,2:13,49:50,1:40,31:25,1:43:14
70,437,Stella Pete,F30-34,70,Female,FingalTriathlonClub,19:59,2:08,48:22,1:12,32:13,1:43:55
71,405,Sheila Devaney,F50-54,71,Female,SligoTriClub,20:48,1:56,49:24,0:40,31:13,1:44:02
72,418,Karen Maguire,F55-59,72,Female,,23:01,2:44,48:09,0:58,29:30,1:44:23
73,416,Helen Labranche,F55-59,73,Female,,22:18,2:02,47:40,1:19,31:32,1:44:54
74,372,Siobhan Keating,F55-59,74,Female,PiranhaTriathlonClub,19:09,2:11,48:09,1:38,33:57,1:45:07
75,443,Maire UiChonghaile,F65-69,75,Female,CorkTriathlonClub,25:34,2:01,51:27,0:50,27:08,1:47:02
76,420,Niamh McCarthy,F40-44,76,Female,NaasTC,20:05,1:53,55:41,1:13,29:24,1:48:18
77,369,Sheila Horan,F50-54,77,Female,,23:09,1:15,53:48,0:36,29:32,1:48:22
78,410,Catherine Flanagan,F65-69,78,Female,NaasTC,23:05,1:34,49:19,1:56,32:48,1:48:43
79,421,Aisling McGowan,F30-34,79,Female,BelparkTC,21:41,3:34,56:33,0:50,26:16,1:48:56
80,338,Edel Oshea,F65-69,80,Female,,21:48,2:24,53:02,0:42,33:54,1:51:52
81,406,ELAINE Doyle,F35-39,81,Female,BoruTC,23:54,2:39,58:21,0:53,30:26,1:56:15
82,417,Mariam Larkin,F45-49,82,Female,,23:11,4:02,57:46,1:04,31:18,1:57:24
83,428,Catherine Murphy,F55-59,83,Female,PiranhaTriathlonClub,23:04,3:10,58:18,2:32,31:27,1:58:33
84,415,Sadbh Kelly,F18-19,84,Female,FingalTriathlonClub,19:49,1:39,56:00,0:50,40:29,1:58:49
85,430,Clare MurrayHickey,F70-74,85,Female,WicklowTC,22:10,3:30,54:11,1:50,37:47,1:59:30
86,423,Anne Moloney,F60-64,86,Female,PiranhaTriathlonClub,19:18,2:33,58:28,0:38,40:14,2:01:13
87,442,Caitlyn Sena,F20-24,87,Female,GalwayTriathlonClub,27:24,2:00,1:00:20,0:28,34:22,2:04:35
88,445,Ann Wilson,F55-59,88,Female,PiranhaTriathlonClub,24:37,3:48,1:03:03,1:01,40:46,2:13:18
89,433,Moya OBrien,F65-69,89,Female,MidlandTC,25:13,4:27,1:04:22,1:19,51:28,2:26:51
90,396,Marie Bishop,F25-29,90,Female,,28:33,2:17,1:30:32,0:49,43:57,2:46:10
,357,Laura Daly,F30-34,,Female,GalwayTriathlonClub,,,,,,
