Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,16,Solveig Løvseth,FPRO,1,Female,Norway,55:40,2:47,4:31:53,2:20,2:55:47,8:28:27
2,2,Kat Matthews,FPRO,2,Female,United Kingdom,55:43,3:03,4:40:08,2:45,2:47:23,8:29:02
3,1,Laura Philipp,FPRO,3,Female,Germany,55:50,2:35,4:40:26,2:43,2:55:53,8:37:28
4,11,Hannah Berry,FPRO,4,Female,New Zealand,52:02,2:23,4:44:37,2:50,3:04:32,8:46:25
5,20,Lisa Perterer,FPRO,5,Female,Austria,55:41,2:39,4:40:50,2:55,3:06:03,8:48:08
6,36,Holly Lawrence,FPRO,6,Female,United Kingdom,50:57,2:22,4:47:46,3:09,3:08:25,8:52:40
7,43,Jocelyn McCauley,FPRO,7,Female,United States,55:37,2:52,4:40:27,3:02,3:17:35,8:59:33
8,33,Sara Svensk,FPRO,8,Female,Sweden,1:05:21,2:32,4:51:56,3:38,2:56:29,8:59:58
9,41,Leonie Konczalla,FPRO,9,Female,Germany,1:05:19,3:00,4:45:57,2:59,3:02:49,9:00:04
10,21,Marlene de Boer,FPRO,10,Female,Netherlands,55:44,2:34,4:46:40,2:53,3:12:29,9:00:20
11,19,Katrine Græsbøll Christensen,FPRO,11,Female,Denmark,1:01:02,3:01,4:50:16,2:36,3:05:13,9:02:08
12,26,Laura Jansen,FPRO,12,Female,Germany,55:53,2:33,4:49:48,3:06,3:12:55,9:04:15
13,14,Regan Hollioake,FPRO,13,Female,Australia,52:05,2:45,4:45:19,2:59,3:24:05,9:07:12
14,44,Diede Diederiks,FPRO,14,Female,Netherlands,1:00:47,2:31,4:47:20,3:49,3:14:31,9:08:58
15,39,Jana Uderstadt,FPRO,15,Female,Germany,1:00:26,2:41,4:55:39,2:52,3:07:54,9:09:32
16,59,Elisabetta Curridori,FPRO,16,Female,Italy,1:00:25,2:19,4:58:09,2:48,3:09:14,9:12:56
17,30,Jenny Jendryschik,FPRO,17,Female,Germany,55:54,2:28,4:52:02,2:55,3:20:43,9:14:02
18,10,Jackie Hering,FPRO,18,Female,United States,55:49,2:28,4:52:05,4:45,3:19:46,9:14:53
19,27,Maja Stage Nielsen,FPRO,19,Female,Denmark,55:40,2:40,4:57:00,3:38,3:16:11,9:15:07
20,42,Haley Chura,FPRO,20,Female,United States,50:56,2:35,4:58:09,3:23,3:20:47,9:15:50
21,23,Skye Moench,FPRO,21,Female,United States,55:54,2:47,4:56:08,4:37,3:17:53,9:17:19
22,17,India Lee,FPRO,22,Female,United Kingdom,51:39,2:28,4:48:23,3:10,3:32:28,9:18:08
23,28,Alice Alberts,FPRO,23,Female,United States,55:53,2:56,4:48:36,3:32,3:27:21,9:18:17
24,57,Julia Skala,FPRO,24,Female,Germany,1:00:56,3:04,4:56:49,3:00,3:15:16,9:19:05
25,32,Charlene Clavel,FPRO,25,Female,France,1:00:23,2:42,4:58:42,3:02,3:14:56,9:19:44
26,53,Nina Derron,FPRO,26,Female,Switzerland,55:55,2:26,4:59:45,2:42,3:19:26,9:20:14
27,35,Gabrielle Lumkes,FPRO,27,Female,United States,55:51,2:30,5:00:29,3:08,3:22:13,9:24:12
28,50,Lottie Lucas,FPRO,28,Female,United Arab Emirates,55:48,2:37,4:56:42,3:33,3:26:04,9:24:42
29,52,Merle Brunnée,FPRO,29,Female,Germany,1:05:23,2:55,4:50:34,2:52,3:28:06,9:29:50
30,29,Henrike Güber,FPRO,30,Female,Germany,1:05:27,2:34,4:54:34,3:16,3:24:21,9:30:11
31,12,Anne Reischmann,FPRO,31,Female,Germany,1:00:54,2:55,4:52:43,3:15,3:30:43,9:30:30
32,4,Marjolaine Pierré,FPRO,32,Female,France,55:45,2:09,5:00:30,8:39,3:26:28,9:33:32
33,689,Samantha Skold,F30-34,1,Female,United States,1:13:30,2:51,4:57:28,3:52,3:17:19,9:34:59
34,31,Rebecca Clarke,FPRO,33,Female,New Zealand,51:01,2:27,5:00:03,5:15,3:39:56,9:38:42
35,38,Stephanie Clutterbuck,FPRO,34,Female,United Kingdom,51:32,2:41,4:49:32,3:34,3:52:28,9:39:47
36,708,Livia Eggler,F30-34,2,Female,Switzerland,1:08:48,3:21,5:18:06,3:25,3:06:53,9:40:32
37,46,Fiona Moriarty,FPRO,35,Female,Ireland,1:00:57,2:36,5:00:01,5:03,3:34:07,9:42:45
38,1378,Lou Prigent,F25-29,1,Female,France,1:00:03,2:48,5:12:58,3:20,3:24:08,9:43:16
39,204,Joanna Soltysiak-Vrebac,F35-39,1,Female,Poland,1:03:57,2:52,5:19:31,3:24,3:16:14,9:45:57
40,47,Jodie Robertson,FPRO,36,Female,United States,1:00:47,3:20,5:05:29,5:42,3:31:51,9:47:10
