Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
57,43,Louise Mc Manus,F60,19,Female,Cuilcagh TC,13:04,1:58,45:35,1:34,32:13,1:34:24
58,24,Siobhán Fox,F35-44,20,Female,Midland TC,13:24,2:32,49:21,1:17,31:18,1:37:52
59,58,Thomas Moroney,M18-24,39,Open,,16:18,6:14,48:13,0:56,26:14,1:37:55
60,52,Joanne Moore,F25-34,21,Female,Tri an Mhi TC,18:06,3:12,47:10,1:14,29:52,1:39:34
61,59,Katie Moroney,F18-24,22,Female,,13:36,3:31,54:38,1:20,27:38,1:40:43
62,62,Clodagh Mulvany,F45-59,23,Female,,16:22,4:28,46:37,1:54,31:23,1:40:44
63,35,Anne Martin,F60,24,Female,Cuilcagh TC,16:21,3:17,46:12,2:10,32:49,1:40:49
64,80,Angela Rice,F60,25,Female,Midland TC,17:33,2:40,46:34,1:17,33:53,1:41:57
65,34,Polly Lyons,F45-59,26,Female,Cavan TC,16:22,3:01,47:33,1:23,36:46,1:45:05
66,81,Amanda Rogers,F35-44,27,Female,Midland TC,20:55,2:49,44:40,2:17,36:28,1:47:09
67,42,Nuala Mc Kenna,F45-59,28,Female,Cavan TC,14:31,3:22,51:41,1:29,36:09,1:47:12
68,56,Jessica Moriarty,F25-34,29,Female,,21:23,5:44,49:12,1:54,29:50,1:48:03
69,88,Laura Tully,F35-44,30,Female,,15:27,3:33,52:45,1:25,35:27,1:48:37
70,10,Ann Comerford,F45-59,31,Female,Edenderry TC,16:43,2:42,55:27,1:23,34:39,1:50:54
71,44,Maedhbh Mc Teigue,F45-59,32,Female,Cuilcagh TC,22:50,2:32,50:15,1:07,37:22,1:54:06
72,1,Audrey Barry,F35-44,33,Female,,22:05,3:32,55:36,1:07,34:32,1:56:52
73,101,Enda Bagnall,M45-59,40,Open,Edenderry TC,21:04,0:59,1:00:40,0:55,36:39,2:00:17
74,167,Gareth Moran,M35-44,41,Open,,19:53,1:21,1:00:48,1:29,38:24,2:01:55
75,186,Ronan Potterton,M25-34,42,Open,,20:07,1:26,1:05:23,0:40,40:10,2:07:46
