Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,131,Michael Moran,M25-29,1,Open,MidlandTC,10:53,0:37,37:45,0:32,18:07,1:07:56
2,44,Kilian Dooley,M50-54,2,Open,,14:25,0:57,37:08,0:33,20:02,1:13:08
3,146,John Oconnell,M40-44,3,Open,CorkTriathlonClub,13:32,1:04,38:23,0:40,21:37,1:15:19
4,157,James PollingtonClyne,M20-24,4,Open,,14:24,1:11,42:21,0:18,18:39,1:16:56
5,65,Vincent Galvin,M45-49,5,Open,PulseTC,14:40,1:13,40:23,0:37,20:58,1:17:54
6,20,Ciaran Charlton,M35-39,6,Open,NaasTC,14:41,1:31,41:28,0:40,19:57,1:18:20
7,158,EiviltasEvan Quigley,M35-39,7,Open,LongfordTC,16:09,1:40,42:18,0:22,19:06,1:19:38
8,180,Daniel Stratford,M20-24,8,Open,,12:58,1:15,45:03,0:33,20:39,1:20:31
9,189,Sinead Whitelaw,F40-44,1,Female,MidlandTC,14:29,0:39,46:24,0:23,21:51,1:23:48
10,5,Shane Bourke,M40-44,9,Open,,12:53,2:04,44:12,1:08,23:43,1:24:02
11,89,Gerard Kenny,M60,10,Open,SetantaTriathlonClub,18:44,0:50,42:47,0:28,22:38,1:25:29
12,86,Evan Kelly,M30-34,11,Open,SligoTriClub,12:22,1:20,45:04,0:55,26:33,1:26:16
13,37,Finn Doherty,M20-24,12,Open,,12:49,1:36,47:57,1:05,23:08,1:26:37
14,160,Sarah Quinn,F35-39,2,Female,SetantaTriathlonClub,15:53,2:01,45:24,0:43,23:16,1:27:20
15,181,Enda Traynor,M40-44,13,Open,PiranhaTriathlonClub,14:44,1:45,46:39,1:07,23:56,1:28:14
16,174,Anthony Ryan,M40-44,14,Open,MidlandTC,14:00,1:07,47:38,0:33,25:34,1:28:54
17,107,Kieran McGowan,M45-49,15,Open,SligoTriClub,17:37,1:16,45:09,1:16,23:48,1:29:08
18,22,Angela Collins,F45-49,3,Female,TriLakesTriathlonClub,16:32,1:22,46:26,0:31,24:21,1:29:13
19,109,Brendan Mcardle,M55-59,16,Open,,16:21,1:39,47:46,0:46,22:50,1:29:24
20,130,Claire Moriarity,F35-39,4,Female,,16:15,1:15,46:39,0:58,24:18,1:29:26
21,98,Patrick Leonard,M25-29,17,Open,MSCTri,12:40,1:52,48:47,1:59,24:31,1:29:51
22,133,Killian Moynagh,M35-39,18,Open,,17:48,2:55,45:50,1:25,21:54,1:29:54
23,134,Darren Moynagh,M40-44,19,Open,DBTriathlonClub,18:10,2:35,44:46,1:20,23:03,1:29:56
24,138,Grace Murphy,F35-39,5,Female,LiquidMotionTC,18:05,1:41,43:09,0:43,26:22,1:30:02
25,75,John Harvey,M45-49,20,Open,,16:40,1:19,43:40,2:32,26:07,1:30:20
26,71,David Hannan,M40-44,21,Open,TriLakesTriathlonClub,17:46,3:18,41:06,1:18,26:54,1:30:24
27,70,Adrian Hamilton,M45-49,22,Open,SligoTriClub,17:25,1:23,45:19,1:05,25:31,1:30:45
28,93,Elaine Lally,F45-49,6,Female,LanesboroTriathlonClub2026,14:04,1:29,46:51,0:36,27:43,1:30:46
29,99,Steven Lowe,M50-54,23,Open,SligoTriClub,15:52,2:17,45:42,0:41,26:35,1:31:08
30,143,Christopher Nicholson,M30-34,24,Open,MSCTri,13:32,1:46,47:59,0:52,26:59,1:31:11
31,125,Brian McNulty,M45-49,25,Open,,19:38,1:58,45:17,0:41,23:38,1:31:15
32,28,Gareth Crowley,M45-49,26,Open,StrabaneTriathlonClub,16:41,1:37,44:05,1:26,27:50,1:31:41
