Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,181,Adrian Carroll,,1,Open,Tullamore TC,15:32,1:42,27:11,0:46,18:50,1:04:01
2,188,Dean Phelan,,2,Open,Tullamore TC,15:34,1:11,27:58,1:33,19:54,1:06:10
3,139,Kieran Corcoran,,3,Open,Tri an Mhi TC,17:12,1:27,30:56,1:17,17:44,1:08:36
4,190,Cole Phelan,,4,Open,Tullamore TC,13:56,1:28,35:28,0:36,17:51,1:09:19
5,163,Andras Czipa,,5,Open,Galway Triathlon Club,15:29,1:39,31:21,1:15,20:21,1:10:05
6,143,David O'Mahony,,6,Open,,18:43,0:54,31:22,0:59,21:04,1:13:02
7,176,Shane Scally,,7,Open,Tullamore TC,18:51,1:48,31:17,1:34,20:47,1:14:17
8,123,Sean Farrell,,8,Open,3D Triathlon Club,15:39,1:13,32:36,1:30,23:43,1:14:41
9,187,Lar Tierney,,9,Open,Tullamore TC,17:45,2:04,32:06,1:39,21:29,1:15:03
10,173,Eanna Gowran,,10,Open,Tullamore TC,20:41,2:55,31:06,1:09,19:41,1:15:32
11,145,Martin Kelleher,,11,Open,Naas TC,17:00,1:22,33:36,0:36,23:13,1:15:47
12,155,Morgan Fox,,12,Open,,19:42,2:10,28:58,1:28,24:03,1:16:21
13,142,Stephen Lynch,,13,Open,,18:17,2:18,34:20,1:32,20:30,1:16:57
14,191,Glenn Raftery,,14,Open,Tullamore TC,15:32,2:28,35:57,0:42,22:30,1:17:09
15,138,Cian Glennon,,15,Open,Tullamore TC,19:32,1:51,32:17,1:35,22:17,1:17:32
16,116,Ruairi Byrne,,16,Open,,20:47,1:37,34:17,1:22,19:51,1:17:54
17,166,Tom Mccormack,,17,Open,Athlone Triathlon Club,21:42,2:13,31:57,2:36,19:36,1:18:04
18,147,Andy McNAmara,,18,Open,Athlone Triathlon Club,15:54,1:29,34:12,1:55,24:39,1:18:09
19,175,Dermot Drea,,19,Open,Tullamore TC,16:58,1:28,35:30,1:19,23:53,1:19:08
20,171,Emma Delaney,,1,Female,Tullamore TC,19:34,2:00,32:16,1:25,24:26,1:19:41
21,127,Declan Lohan,,20,Open,,18:28,1:40,35:46,0:39,23:43,1:20:16
22,179,Michael Carroll,,21,Open,Tullamore TC,18:51,2:06,33:40,1:12,24:35,1:20:24
23,107,Forrest McCormack,,22,Open,Tullamore TC,19:28,2:14,34:57,1:43,22:13,1:20:35
24,186,Amanda Owens,,2,Female,Tullamore TC,19:11,1:53,34:30,1:10,24:02,1:20:46
25,193,Hubert Murray,,23,Open,Tullamore TC,17:48,2:00,36:53,1:19,22:51,1:20:51
26,137,Jason Browne,,24,Open,Naas TC,17:43,2:28,34:33,1:03,25:20,1:21:07
27,117,Maura Dervin,,3,Female,Lanesboro Triathlon Club,20:31,1:58,36:27,0:46,21:38,1:21:20
28,152,Gerald Lynch,,25,Open,Athlone Triathlon Club,17:36,1:18,35:36,1:02,26:06,1:21:38
29,165,Brian Moore,,26,Open,Athlone Triathlon Club,16:24,2:18,33:05,1:10,29:04,1:22:01
30,158,Adrian Martin,,27,Open,Tullamore TC,19:40,1:57,34:20,1:31,24:48,1:22:16
31,136,Ericka Murray,,4,Female,Sligo Tri Club,19:35,2:10,34:18,1:06,25:59,1:23:08
32,156,Damien Cleary,,28,Open,,19:56,2:29,36:00,1:36,23:20,1:23:21
33,131,John Donohoe,,29,Open,Midland TC,,22:14,36:29,1:31,23:10,1:23:24
34,110,Jonathan Slattery,,30,Open,,16:46,3:41,37:29,1:58,23:31,1:23:25
35,113,Gary Molyneaux,,31,Open,,22:33,3:02,29:14,1:42,26:58,1:23:29
36,112,ewan joyce Whyte,,32,Open,,15:58,1:48,39:07,2:12,24:59,1:24:04
