Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
1,114,Archie Bremner,,1,Open,Wicklow TC,8:32,0:26,33:00,0:35,16:49,59:22
2,330,Donal Mongey,,2,Open,Naas TC,10:21,0:34,31:31,0:27,16:54,59:47
3,440,Pearse Gallagher,,3,Open,Not Applicable,8:42,0:25,33:33,0:30,17:05,1:00:15
4,320,Sean McMahon,,4,Open,Piranha Triathlon Club,8:56,0:28,34:08,0:40,16:39,1:00:51
5,283,Ryan Lundy,,5,Open,Northwest TC,9:21,0:42,32:47,0:32,17:45,1:01:07
6,367,Eddy O'Byrne,,6,Open,Belpark Triathlon Club,8:46,0:38,33:29,0:38,17:47,1:01:18
7,267,Ross Killalea,,7,Open,Midland TC,9:06,0:33,34:41,0:31,16:57,1:01:48
8,444,Tim Waters,,8,Open,Naas TC,11:11,0:41,34:53,0:53,17:07,1:04:45
9,227,Darragh Halpenny,,9,Open,Belpark Triathlon Club,9:44,0:34,36:23,0:30,17:38,1:04:49
10,184,Oliver Duffield,,10,Open,,9:05,0:33,37:22,0:26,17:36,1:05:02
11,178,Stephen Donnelly,,11,Open,Liquid Motion TC,10:45,0:57,34:57,0:46,17:38,1:05:03
12,446,Saoirse O'Brien,,1,Female,Piranha Triathlon Club,9:03,0:35,37:04,0:29,18:47,1:05:58
13,218,Ruaidhri Geraghty,,12,Open,Galway Triathlon Club,10:45,0:47,34:03,1:09,19:39,1:06:23
14,288,Alan Maher,,13,Open,Portmarnock TC,9:22,0:58,36:57,1:07,18:10,1:06:34
15,180,Kilian Dooley,,14,Open,,11:49,0:47,34:02,0:41,19:30,1:06:49
16,164,Laura Daly,,2,Female,Galway Triathlon Club,10:17,0:38,35:35,0:41,19:49,1:07:00
17,388,Patrick Quinn,,15,Open,Ennis Triathlon Club,11:22,0:49,35:34,0:44,18:36,1:07:05
18,233,Shane Hennelly,,16,Open,Lanesboro Triathlon Club,12:09,0:44,35:20,0:47,18:13,1:07:13
19,237,Kieran Hopkins,,17,Open,,11:32,0:52,34:31,0:40,19:40,1:07:15
20,183,Alistair Duffield,,18,Open,,9:54,0:57,36:43,0:38,19:28,1:07:40
21,375,Stuart O'Sullivan,,19,Open,Belpark Triathlon Club,10:52,1:07,36:36,0:28,19:14,1:08:17
22,174,Martin Divilly,,20,Open,Galway Triathlon Club,12:32,1:13,33:58,0:42,20:14,1:08:39
23,120,Lara Buck,,3,Female,Wicklow TC,10:15,0:48,38:25,0:44,19:04,1:09:16
24,442,Aimee Carr,,4,Female,Not Applicable,9:51,0:39,38:46,0:28,19:39,1:09:23
25,381,Michael Pearce,,21,Open,Wicklow TC,10:30,0:38,36:54,0:56,20:43,1:09:41
26,373,Niall O'Reilly,,22,Open,Pulse TC,12:22,0:53,37:32,0:46,18:10,1:09:43
27,129,Luke Canavan Dignam,,22,Open,Galway Triathlon Club,11:36,0:46,35:32,0:44,21:05,1:09:43
28,242,Zoe Hughes,,5,Female,Optima Racing Team London,9:34,0:27,41:07,0:25,18:12,1:09:45
29,132,Matthew Carroll,,24,Open,Naas TC,11:10,0:34,35:03,0:46,22:20,1:09:53
30,160,Adrian Cunningham,,25,Open,Kilkenny Triathlon Club,10:51,0:47,36:10,0:48,21:19,1:09:55
31,198,David Fitzgerald,,26,Open,Tralee Tri Club,11:42,1:03,38:09,0:55,18:09,1:09:58
32,277,Gabriel Le Donne,,27,Open,Cobh Triathlon Club,11:28,0:37,39:07,0:33,18:23,1:10:08
33,214,Vincent Galvin,,28,Open,Pulse TC,11:57,1:06,37:09,0:44,19:46,1:10:42
34,407,Tom Soden,,29,Open,Wicklow TC,10:09,0:42,37:37,0:44,21:54,1:11:06
35,121,Eve Burns,,6,Female,,9:18,0:34,39:36,0:41,21:06,1:11:15
36,213,Chris Gallahue,,30,Open,Blackwater Triathlon Club,11:48,0:46,37:44,0:47,20:20,1:11:25
37,370,Martin O'Grady,,31,Open,Galway Triathlon Club,12:25,1:06,35:23,1:01,21:44,1:11:39
38,405,Darragh Skehan,,32,Open,Naas TC,12:05,0:50,38:16,0:31,19:59,1:11:41
39,451,Tom Downes,,33,Open,Wicklow TC,13:26,1:25,36:44,0:44,19:26,1:11:45
40,432,Steven Whitehead,,34,Open,UCD Triathlon Club,11:04,1:14,39:00,1:02,19:46,1:12:06
41,119,Brendan Buck,,35,Open,Wicklow TC,11:35,0:43,38:39,0:41,20:50,1:12:28
42,358,Diarmuid O Conchubhair,,36,Open,Galway Triathlon Club,12:42,1:21,37:03,0:42,20:46,1:12:34
43,361,Naoise O Donnell,,7,Female,Galway Triathlon Club,9:55,0:58,39:44,0:46,21:19,1:12:42
44,260,Paul Kelly,,37,Open,Cork Triathlon Club 2025,12:11,0:49,39:17,0:47,19:44,1:12:48
45,136,Izabella Chidlow,,8,Female,South Coast TC,9:40,0:38,41:03,0:39,20:50,1:12:50
46,311,Ryan McDonald,,38,Open,Hi Elbow,13:06,0:58,38:39,0:53,19:19,1:12:55
47,123,Michal Buzynuk,,39,Open,Galway Triathlon Club,12:26,0:56,37:48,1:07,20:57,1:13:14
48,313,Peter McGloin,,40,Open,Wicklow TC,11:49,0:53,38:43,0:57,20:56,1:13:18
49,420,John Wallnutt,,41,Open,Portmarnock TC,11:28,0:49,37:39,0:55,22:39,1:13:30
50,386,Dáire Power,,42,Open,Naas TC,13:18,1:09,37:53,1:01,20:34,1:13:55
51,421,Michael Walls,,43,Open,,12:41,1:12,38:55,1:20,20:22,1:14:30
52,300,Micheal Mc Mahon,,44,Open,Ennis Triathlon Club,11:47,1:41,40:19,1:04,20:11,1:15:02
53,338,Colin Mulkerrins,,45,Open,Athy Triathlon Club,13:04,1:11,38:30,1:02,21:25,1:15:12
54,292,Nessa Mangan,,9,Female,Predator Triathlon Club,10:23,0:35,42:43,0:35,20:57,1:15:13
55,247,Daragh Jennings,,46,Open,Galway Triathlon Club,12:23,1:04,39:33,1:03,21:13,1:15:16
56,272,Manon Laboure,,10,Female,UCD Triathlon Club,10:43,0:43,42:00,0:35,21:20,1:15:21
57,221,Harry Goonan,,47,Open,,14:13,1:35,38:58,1:38,19:03,1:15:27
58,219,David Gibson,,48,Open,,12:22,1:31,38:39,1:26,21:32,1:15:30
59,254,Alan Kearney,,49,Open,,11:30,1:34,39:23,1:08,22:03,1:15:38
60,293,Mark Maybury,,50,Open,UCD Triathlon Club,11:54,2:21,39:03,1:17,21:06,1:15:41
61,399,Kathleen Ryan,,11,Female,Cork Triathlon Club 2025,13:20,1:19,39:25,1:04,20:36,1:15:44
62,270,Cillian Kirk,,51,Open,Athy Triathlon Club,10:55,0:50,41:54,0:50,21:17,1:15:46
63,157,Noel Cronin,,52,Open,Not Applicable,11:26,0:48,40:30,1:04,22:10,1:15:58
64,312,Mark McEntee,,53,Open,Cork Triathlon Club 2025,13:19,1:49,38:34,0:38,21:51,1:16:11
65,332,Carmel Moran,,12,Female,Pulse TC,12:58,1:13,40:28,0:52,20:47,1:16:18
66,112,Jim Breen,,54,Open,Tralee Tri Club,13:15,1:38,39:26,1:18,20:58,1:16:35
67,334,Brian Morley,,55,Open,Liquid Motion TC,13:41,2:17,36:49,1:32,22:17,1:16:36
68,127,Sharon Cahill,,13,Female,Tralee Tri Club,13:22,1:06,39:57,1:02,21:13,1:16:40
