Place,Bib,Name,Age_Group,Group_Rank,Class,Club,Swim,T1,Bike,T2,Run,Finish
60,345,Mirek Pyrsz,M40-44,51,Open,0,28:08,2:59,1:25:33,2:16,59:59,2:58:57
61,153,Niamh Heaney,F25-29,8,Female,0,34:04,2:16,1:32:59,1:39,48:45,2:59:45
62,150,Patrick Hazelton,M20-24,52,Open,0,29:16,1:54,1:34:09,1:07,53:29,2:59:57
63,59,John Connaghan,M65-69,53,Open,0,29:06,1:19,1:32:03,1:30,56:03,3:00:03
64,68,Brian Corry,M45-49,54,Open,0,33:29,1:52,1:28:18,1:41,54:58,3:00:20
65,174,Tara Johnston,F50-54,9,Female,0,30:57,1:25,1:36:55,1:02,50:22,3:00:43
66,7,Thomas Bach,M35-39,55,Open,0,33:16,2:16,1:32:26,1:32,53:32,3:03:03
67,15,Johnny Bogues,M35-39,56,Open,0,33:47,2:50,1:31:45,1:45,53:07,3:03:17
68,388,Michael Stirling,M30-34,57,Open,0,36:05,2:11,1:34:49,1:31,49:39,3:04:15
69,21,Simon BOYLE,M60,58,Open,0,33:39,1:37,1:33:25,1:30,54:14,3:04:27
70,134,stephen guy,M50-54,59,Open,0,32:53,2:18,1:31:26,1:37,56:22,3:04:39
71,338,Michael Penfold,M30-34,60,Open,0,28:58,2:23,1:34:41,1:25,57:19,3:04:48
72,349,John Reed,M60,61,Open,0,37:15,3:16,1:29:49,2:15,53:55,3:06:33
73,34,Seaghna Campbell,F25-29,10,Female,0,37:45,3:20,1:33:25,2:50,49:40,3:07:02
74,202,MARTIN LUCAS,M40-44,62,Open,0,38:17,2:01,1:32:15,2:21,52:10,3:07:08
75,25,Ciaran Breen,M25-29,63,Open,0,38:44,1:59,1:34:24,1:54,50:19,3:07:22
76,206,Lee Mackle,M35-39,64,Open,0,36:06,3:08,1:34:36,1:47,52:01,3:07:40
77,163,Stuart Hooks,M30-34,65,Open,0,38:15,1:41,1:32:23,1:25,54:03,3:07:49
78,377,Margaret Sinnott,F35-39,11,Female,0,37:23,2:09,1:32:29,2:29,53:22,3:07:55
79,241,CONOR MCERLEAN,M45-49,66,Open,0,30:43,2:08,1:38:07,1:35,56:23,3:08:58
80,50003,Peter Irvine,M40-44,67,Open,0,33:33,2:55,1:33:58,2:16,58:05,3:10:50
81,169,Adam Hynes,M30-34,68,Open,0,37:24,2:58,1:31:15,1:44,58:10,3:11:34
82,177,Matthew Kearney,M25-29,69,Open,0,32:31,2:17,1:35:00,2:11,1:00:48,3:12:49
83,123,CarlosMiguel GarciaMejias,M40-44,70,Open,0,34:28,1:55,1:29:43,1:42,1:05:29,3:13:21
84,118,Eddie Fitzpatrick,M50-54,71,Open,0,35:01,2:21,1:36:37,1:30,58:25,3:13:57
85,319,Tim O'Connell,M30-34,72,Open,0,31:17,3:47,1:37:53,2:12,59:12,3:14:24
86,191,Hailey Kotsaftis,F25-29,12,Female,0,28:06,2:33,1:46:13,2:19,55:11,3:14:25
87,120,Siobhan Forman,F55-59,13,Female,0,32:40,1:46,1:37:22,1:44,1:01:01,3:14:34
88,379,Gemma Skeath,F35-39,14,Female,0,34:45,1:40,1:39:16,1:58,56:55,3:14:36
89,85,Gareth Dempsey,M50-54,73,Open,0,37:28,3:14,1:32:46,1:59,1:00:31,3:16:01
90,232,Conor McCormac,M30-34,74,Open,0,45:02,3:10,1:36:23,2:16,49:23,3:16:16
91,283,Adam Moore,M25-29,75,Open,0,28:50,2:13,1:40:34,1:51,1:03:25,3:16:55
92,10,Martin Baten,M55-59,76,Open,0,28:44,3:34,1:37:15,2:48,1:04:57,3:17:20
93,184,Conor Kennedy,M50-54,77,Open,0,26:52,3:41,1:41:15,3:18,1:02:30,3:17:38
94,371,Alan Scott,M55-59,78,Open,0,36:41,3:26,1:41:47,1:57,54:15,3:18:08
95,390,John Swail,M60,79,Open,0,35:20,3:13,1:40:39,2:01,57:05,3:18:20
96,81,Caroline Daly,F45-49,15,Female,0,37:50,2:35,1:38:45,1:29,59:09,3:19:50
97,105,Julie Egan,F45-49,16,Female,0,27:14,3:27,1:42:03,2:55,1:05:29,3:21:09
98,17,Denis Borimskij,M40-44,80,Open,0,35:07,2:38,1:43:09,1:45,59:00,3:21:41
99,63,Camilla Conta,F25-29,17,Female,0,34:33,2:53,1:41:00,1:53,1:01:49,3:22:10
100,213,Wilson Mcalister,M65-69,81,Open,0,40:05,2:46,1:37:39,2:04,59:49,3:22:25
101,64,Peadar Corbally,M35-39,82,Open,0,36:31,2:24,1:38:48,2:35,1:02:20,3:22:40
102,119,Colm Flynn,M25-29,83,Open,0,39:36,3:01,1:41:32,2:07,56:49,3:23:07
103,347,Mark Ramsey,M50-54,84,Open,0,33:18,2:00,1:42:56,1:49,1:03:31,3:23:36
104,138,Rory Hamill,M35-39,85,Open,0,37:53,3:40,1:39:41,3:31,58:52,3:23:40
105,66,Simon Cordoba,M30-34,86,Open,0,33:44,3:52,1:40:45,2:08,1:03:24,3:23:56
106,82,Conor Daly,M35-39,87,Open,0,37:19,4:59,1:46:29,3:58,52:35,3:25:21
107,130,Wesley Green,M30-34,88,Open,0,35:02,4:25,1:45:49,2:36,58:09,3:26:02
108,244,Shane Mcgale,M55-59,89,Open,0,28:17,2:31,1:48:01,2:00,1:05:35,3:26:26
109,227,Eammon McConvey,M65-69,90,Open,0,37:10,4:54,1:37:05,3:25,1:03:53,3:26:30
110,102,Seán Dunne,M35-39,91,Open,0,34:36,3:03,1:42:40,2:33,1:03:56,3:26:50
111,261,Frank McKevitt,M40-44,92,Open,0,36:16,3:09,1:44:49,3:24,1:01:29,3:29:09
112,48,Chris Cleary,M50-54,93,Open,0,33:26,2:24,1:37:40,2:00,1:13:47,3:29:19
113,399,Anna Walsh,F35-39,18,Female,0,35:23,2:18,1:47:06,1:40,1:03:27,3:29:57
114,420,Tom Young,M50-54,94,Open,0,33:17,1:44,1:49:31,2:10,1:04:17,3:31:01
115,223,Aine McCarthy,F30-34,19,Female,0,37:09,3:48,1:45:15,2:43,1:02:15,3:31:11
116,217,Jonathan Mcbride,M50-54,95,Open,0,41:28,2:33,1:39:45,2:09,1:05:45,3:31:41
117,230,May McCool,F25-29,20,Female,0,37:14,3:21,1:45:11,2:21,1:03:47,3:31:55
118,79,Peadar Curran,M55-59,96,Open,0,41:37,4:13,1:38:36,2:25,1:05:42,3:32:34
119,392,Colin Thompson,M45-49,97,Open,0,37:28,2:03,1:41:54,2:19,1:11:19,3:35:06
120,65,Eirin Corbett,F30-34,21,Female,0,32:58,2:35,1:36:33,1:39,1:21:36,3:35:23
121,405,Colin Watson,M60,98,Open,0,42:54,2:58,1:48:00,1:58,59:33,3:35:26
122,151,Philip Headley,M50-54,99,Open,0,36:30,3:37,1:45:06,3:39,1:08:53,3:37:47
123,54,Laura Colhoun,F40-44,22,Female,0,33:48,2:04,1:56:15,1:34,1:06:49,3:40:32
124,340,Colin Peters,M50-54,100,Open,0,36:38,5:04,1:42:31,4:27,1:13:06,3:41:47
125,262,Darren McKinley,M40-44,101,Open,0,44:46,3:18,1:52:57,2:52,58:16,3:42:11
126,265,Claire Mclernon,F40-44,23,Female,0,31:57,2:05,1:48:03,1:59,1:18:51,3:42:57
127,361,Brian Ross,M55-59,102,Open,0,45:25,4:02,1:49:41,4:00,1:00:37,3:43:47
128,350,Brian Regan,M35-39,103,Open,0,41:42,3:57,1:51:35,2:42,1:04:34,3:44:32
129,423,Jill Stevenson,F30-34,24,Female,0,40:14,2:44,1:58:35,2:30,1:01:38,3:45:43
130,228,Eamon McConville,M35-39,104,Open,0,34:31,2:25,2:04:59,3:12,1:00:44,3:45:52
131,194,Kevin Lavery,M45-49,105,Open,0,39:00,2:35,1:52:12,2:34,1:09:32,3:45:55
132,336,Zoe Parsons,F45-49,25,Female,0,36:47,2:32,1:46:24,2:06,1:18:26,3:46:17
133,104,Conor Eannetta,M50-54,106,Open,0,35:05,2:39,1:47:44,3:01,1:18:34,3:47:04
134,394,Katie Timmins,F30-34,26,Female,0,33:29,2:40,1:58:39,4:40,1:08:14,3:47:43
135,75,Chloe Cumming,F25-29,27,Female,0,38:52,3:47,1:56:13,3:59,1:05:16,3:48:09
136,141,Brent Hardy,M25-29,107,Open,0,42:29,4:00,1:53:19,3:10,1:06:48,3:49:46
137,335,Michael Padgett,M50-54,108,Open,0,51:55,3:38,1:41:38,2:33,1:10:47,3:50:33
138,308,Andrew Nethery,M25-29,109,Open,0,46:05,3:52,1:58:57,2:57,1:00:36,3:52:30
139,41,Frances Carragher,F40-44,28,Female,0,37:16,3:05,2:00:22,2:27,1:12:58,3:56:12
140,60,Darran Connolly,M45-49,110,Open,0,39:31,3:57,2:01:31,2:16,1:12:21,3:59:38
141,80,Sean Curran,M55-59,111,Open,0,40:56,3:28,1:59:11,2:32,1:16:33,4:02:42
142,164,Timothy Horgan,M65-69,112,Open,0,43:37,4:50,1:56:27,4:00,1:20:35,4:09:31
143,111,Eilis Fallon,F55-59,29,Female,0,40:55,4:36,2:02:32,4:28,1:21:35,4:14:09
144,302,STEPHEN MURRAY,M45-49,113,Open,0,1:00:31,2:53,1:53:53,2:40,1:15:28,4:15:27
145,30,Helena Burns,F45-49,30,Female,0,50:20,4:01,2:06:25,2:30,1:17:01,4:20:19
146,69,Colm Costelloe,M50-54,114,Open,0,35:50,1:39,2:00:42,5:28,1:36:45,4:20:27
147,77,Linda Cunningham,F60-64,31,Female,0,46:16,3:20,2:14:38,2:39,1:28:00,4:34:56
148,316,Rosemary Obey,F50-54,32,Female,0,40:04,3:41,2:24:27,3:42,1:31:56,4:43:52
149,185,Fiona Keogh,F45-49,33,Female,0,45:07,6:44,2:15:34,4:17,1:38:32,4:50:16
